Sku,ProductCode,Pattern,Color,PatternColorCombo,Status,IntroDate,Contents,Width,Direction,HRepeat,VRepeat,CleaningCode,DoubleRubs,Misc,Disclaimer,Uses,Designs,Colors,Origin,PillingGrade,FireCode,Categories,Brand,IsDropShipped,Image,DisplayPrice,Price,SupplementalImages,FullWidthImages,Inventory.ProductCode,Inventory.Rolls,Inventory.Total,Inventory.PurchaseOrders,Inventory.TotalOnPO,Inventory.OnBackorder
9382,ADLERSILVER,ADLER TAPE,SILVER,ADLER TAPE SILVER,B,11/4/2020 0:00:00,46Fibranne/54Rayon,3.9,,,,DC,,Available in whole yardage only.,,"[""Trimmings""]","[""Greek Key""]","[""Gray""]",CHINA,,,"[""Tape""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ADLER%20TAPE%20SILVER.jpg,106.00,10600,null,null,,,,,,
9387,ADLERSKY,ADLER TAPE,SKY,ADLER TAPE SKY,B,11/4/2020 0:00:00,46Fibranne/54Rayon,3.9,,,,DC,,Available in whole yardage only.,,"[""Trimmings""]","[""Greek Key""]","[""Light Blue""]",CHINA,,,"[""Tape""]",MagFabrics,true,https://images.magfabrics.com/fabrics/ADLER%20TAPE%20SKY.jpg,106.00,10600,null,null,,,,,,
12072,ADONISMORNINGDE,ADONIS,MORNINGDEW,ADONIS MORNINGDEW,B,1/23/2025 0:00:00,"61% POLYESTER, 39% VISCOSE",54,UPROLL,13.5,17.5,S,"51,000",,,"[""Multipurpose"",""Upholstery""]","[""Solid"",""Textured Plain""]","[""Aqua/Teal""]",INDIA,4,CA 117,"[""Solids/Small Scale"",""Velvet""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ADONIS%20MORNINGDEW.jpg,150.00,15000,"[""https://images.magfabrics.com/fabrics/ADONIS%20MORNINGDEW-1.jpg"",""https://images.magfabrics.com/fabrics/ADONIS%20MORNINGDEW-2.jpg""]",null,ADONISMORNINGDE,"[{""ID"":""1141-4387"",""Quantity"":""16.375""}]",16.375,null,0,0
12071,ADONISTUSCAN,ADONIS,TUSCAN,ADONIS TUSCAN,B,1/23/2025 0:00:00,"61% POLYESTER, 39% VISCOSE",54,UPROLL,13.5,17.5,S,"51,000",,,"[""Multipurpose"",""Upholstery""]","[""Solid"",""Textured Plain""]","[""Coral/Peach"",""Orange""]",INDIA,4,CA 117,"[""Solids/Small Scale"",""Velvet""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ADONIS%20TUSCAN.jpg,150.00,15000,"[""https://images.magfabrics.com/fabrics/ADONIS%20TUSCAN-2.jpg"",""https://images.magfabrics.com/fabrics/ADONIS%20TUSCAN-3.jpg""]",null,ADONISTUSCAN,"[{""ID"":""1808-2823"",""Quantity"":""1.625""},{""ID"":""1142-6132"",""Quantity"":""13""}]",14.625,null,0,0
11909,AERIUMCLASSICO,AERIUM,CLASSICO,AERIUM CLASSICO,B,8/28/2024 0:00:00,100% COTTON,54,UPROLL,27,27,S,"10,000 WYZ",,,"[""Bedding"",""Drapery"",""Multipurpose""]","[""Asian""]","[""Multi-Color""]",INDIA,5,CA TB 117-2013,"[""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/AERIUM%20CLASSICO.jpg,104.00,10400,"[""https://images.magfabrics.com/fabrics/AERIUM%20CLASSICO-2.jpg"",""https://images.magfabrics.com/fabrics/AERIUM%20CLASSICO-3.jpg"",""https://images.magfabrics.com/fabrics/AERIUM%20CLASSICO-4.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/AERIUM%20FULL.jpg""]",AERIUMCLASSICO,"[{""ID"":""1562-4975"",""Quantity"":""30.375""}]",30.375,null,0,0
12044,AGNESFERN,AGNES,FERN,AGNES FERN,X,12/12/2024 0:00:00,"52% POLY, 48% COTTON, EMB: 100% COTTON",51,UPROLL,25.5,18.75,S,"3,000",,,"[""Bedding"",""Drapery"",""Multipurpose""]","[""Floral""]","[""Green""]",INDIA,4,"CA 117, UFAC 1","[""Crewels/Embroideries""]",MagFabrics,false,https://images.magfabrics.com/fabrics/AGNES%20FERN.jpg,112.00,11200,"[""https://images.magfabrics.com/fabrics/AGNES%20FERN-1.jpg"",""https://images.magfabrics.com/fabrics/AGNES%20FERN-2.jpg"",""https://images.magfabrics.com/fabrics/AGNES%20FERN-4.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/AGNES%20FULL.jpg""]",AGNESFERN,"[{""ID"":""1560-7207"",""Quantity"":""11.5""}]",11.5,null,0,0
12046,AGNESIVORY,AGNES,IVORY,AGNES IVORY,B,12/12/2024 0:00:00,"52% POLY, 48% COTTON, EMB: 100% COTTON",51,UPROLL,25.5,18.75,S,"3,000",,,"[""Bedding"",""Drapery"",""Multipurpose""]","[""Floral""]","[""Beige/Tan/Taupe"",""Natural""]",INDIA,4,"CA 117, UFAC 1","[""Crewels/Embroideries""]",MagFabrics,false,https://images.magfabrics.com/fabrics/AGNES%20IVORY.jpg,112.00,11200,"[""https://images.magfabrics.com/fabrics/AGNES%20IVORY-1.jpg"",""https://images.magfabrics.com/fabrics/AGNES%20IVORY-2.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/AGNES%20FULL.jpg""]",AGNESIVORY,"[{""ID"":""1333-7556"",""Quantity"":""0.875""},{""ID"":""2021-6012"",""Quantity"":""54.9""}]",55.775,null,0,0
12047,AGNESROSE,AGNES,ROSE,AGNES ROSE,B,12/12/2024 0:00:00,"52% POLY, 48% COTTON, EMB: 100% COTTON",51,UPROLL,25.5,18.75,S,"3,000",,,"[""Bedding"",""Drapery"",""Multipurpose""]","[""Floral""]","[""Pink""]",INDIA,4,"CA 117, UFAC 1","[""Crewels/Embroideries""]",MagFabrics,false,https://images.magfabrics.com/fabrics/AGNES%20ROSE.jpg,112.00,11200,"[""https://images.magfabrics.com/fabrics/AGNES%20ROSE-1.jpg"",""https://images.magfabrics.com/fabrics/AGNES%20ROSE-2.jpg"",""https://images.magfabrics.com/fabrics/AGNES%20ROSE-4.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/AGNES%20FULL.jpg""]",AGNESROSE,"[{""ID"":""1666-6113"",""Quantity"":""20.375""}]",20.375,null,0,0
12045,AGNESSKY,AGNES,SKY,AGNES SKY,X,12/12/2024 0:00:00,"52% POLY, 48% COTTON, EMB: 100% COTTON",51,UPROLL,25.5,18.75,S,"3,000",,,"[""Bedding"",""Drapery"",""Multipurpose""]","[""Floral""]","[""Blue"",""Light Blue""]",INDIA,4,"CA 117, UFAC 1","[""Crewels/Embroideries""]",MagFabrics,false,https://images.magfabrics.com/fabrics/AGNES%20SKY.jpg,112.00,11200,"[""https://images.magfabrics.com/fabrics/AGNES%20SKY-1.jpg"",""https://images.magfabrics.com/fabrics/AGNES%20SKY-2.jpg"",""https://images.magfabrics.com/fabrics/AGNES%20SKY-3.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/AGNES%20FULL.jpg""]",AGNESSKY,"[{""ID"":""1268-7208"",""Quantity"":""9.375""}]",9.375,null,0,0
7954,ALGAR SKY,ALGAR,SKY,ALGAR SKY,B,12/23/2016 0:00:00,100% POLY,"54""",NON DIRECTIONAL,.25,.58,W,"150,000",,,"[""Upholstery""]","[""Small Scale Woven"",""Solid""]","[""Blue""]",CHINA,5,CA 117,"[""Solids/Small Scale"",""Wovens""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ALGAR%20SKY.jpg,44.00,4400,null,null,ALGAR SKY,"[{""ID"":""1519-5519"",""Quantity"":""0.625""},{""ID"":""1474-1906"",""Quantity"":""8""},{""ID"":""1108-8135A"",""Quantity"":""2.75""},{""ID"":""1230-4481"",""Quantity"":""49.375""}]",60.75,null,0,0
10430,ALINAREGENT,ALINA,REGENT,ALINA REGENT,B,8/29/2022 0:00:00,100% COTTON,54,UPROLL,27.5,27.5,S,"10,000",,,"[""Bedding"",""Drapery"",""Multipurpose""]","[""Asian""]","[""Multi-Color""]",INDIA,,CA 117,"[""Prints""]",MagFabrics,false,https://images.magfabrics.com/fabrics/ALINA%20REGENT.jpg,104.00,10400,"[""https://images.magfabrics.com/fabrics/ALINA%20REGENT%201.jpg""]","[""https://images.magfabrics.com/fabrics/Full%20Width%20Images/ALINA%20FULL.jpg""]",ALINAREGENT,"[{""ID"":""1757-4424"",""Quantity"":""9.25""}]",9.25,"[{""ETA"":""8/14/2026"",""Amount"":""25""}]",25,0
