Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Dimensions
ADAMSCAMEL,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ADAMS%20CAMEL2.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMSDOVE,ADAMS DOVE,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12452</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: DOVE</p><p class=""magfabrics-uses"">Uses: Contract, Upholstery</p><p class=""magfabrics-contents"">Contents: 93% Polyester, 7% Linen</p><p class=""magfabrics-double-rubs"">Double Rubs: 75,000 WB</p><p class=""magfabrics-designs"">Design: Basketweave, Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Chenille, Fire Rated (Fr), Solids/Small Scale, Wovens</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: CALTB117-2013, NFPA 260 Class 1, UFAC Class 1</p></div>",MagFabrics,,,"Contract, Upholstery",TRUE,,,,,,,12452,,,,continue,manual,60.00,,,,,https://images.magfabrics.com/fabrics/ADAMS%20DOVE.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ADAMSDOVE,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ADAMS%20DOVE2.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMSGARNET,ADAMS GARNET,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12453</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: GARNET</p><p class=""magfabrics-uses"">Uses: Contract, Upholstery</p><p class=""magfabrics-contents"">Contents: 93% Polyester, 7% Linen</p><p class=""magfabrics-double-rubs"">Double Rubs: 75,000 WB</p><p class=""magfabrics-designs"">Design: Basketweave, Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Chenille, Fire Rated (Fr), Solids/Small Scale, Wovens</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: CALTB117-2013, NFPA 260 Class 1, UFAC Class 1</p></div>",MagFabrics,,,"Contract, Upholstery",TRUE,,,,,,,12453,,,,continue,manual,60.00,,,,,https://images.magfabrics.com/fabrics/ADAMS%20GARNET.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ADAMSGARNET,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ADAMS%20GARNET2.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMSIRON,ADAMS IRON,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12454</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: IRON</p><p class=""magfabrics-uses"">Uses: Contract, Upholstery</p><p class=""magfabrics-contents"">Contents: 93% Polyester, 7% Linen</p><p class=""magfabrics-double-rubs"">Double Rubs: 75,000 WB</p><p class=""magfabrics-designs"">Design: Basketweave, Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Chenille, Fire Rated (Fr), Solids/Small Scale, Wovens</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: CALTB117-2013, NFPA 260 Class 1, UFAC Class 1</p></div>",MagFabrics,,,"Contract, Upholstery",TRUE,,,,,,,12454,,,,continue,manual,60.00,,,,,https://images.magfabrics.com/fabrics/ADAMS%20IRON.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ADAMSIRON,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ADAMS%20IRON2.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMSJUTE,ADAMS JUTE,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12455</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: JUTE</p><p class=""magfabrics-uses"">Uses: Contract, Upholstery</p><p class=""magfabrics-contents"">Contents: 93% Polyester, 7% Linen</p><p class=""magfabrics-double-rubs"">Double Rubs: 75,000 WB</p><p class=""magfabrics-designs"">Design: Basketweave, Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Chenille, Fire Rated (Fr), Solids/Small Scale, Wovens</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: CALTB117-2013, NFPA 260 Class 1, UFAC Class 1</p></div>",MagFabrics,,,"Contract, Upholstery",TRUE,,,,,,,12455,,,,continue,manual,60.00,,,,,https://images.magfabrics.com/fabrics/ADAMS%20JUTE.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
ADAMSJUTE,,,,,,,,,,,,,,,,,,,,,,,,,https://images.magfabrics.com/fabrics/ADAMS%20JUTE2.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMSMIDNIGHT,ADAMS MIDNIGHT,"<div class=""magfabrics-body""><p class=""magfabrics-sku"">MagFabrics SKU #: 12456</p><p class=""magfabrics-hrepeated"">Horizontal Repeat: 0</p><p class=""magfabrics-vrepeated"">Vertical Repeat: 0</p><p class=""magfabrics-color"">Color: MIDNIGHT</p><p class=""magfabrics-uses"">Uses: Contract, Upholstery</p><p class=""magfabrics-contents"">Contents: 93% Polyester, 7% Linen</p><p class=""magfabrics-double-rubs"">Double Rubs: 75,000 WB</p><p class=""magfabrics-designs"">Design: Basketweave, Solid, Textured Plain</p><p class=""magfabrics-categories"">Categories: Chenille, Fire Rated (Fr), Solids/Small Scale, Wovens</p><p class=""magfabrics-width"">Width: 56""</p><p class=""magfabrics-cleaning-code"">Cleaning Code: W</p><p class=""magfabrics-origin"">Origin: CHINA</p><p class=""magfabrics-brand"">Brand: Indura Performance</p><p class=""magfabrics-fire-code"">Fire Code: CALTB117-2013, NFPA 260 Class 1, UFAC Class 1</p></div>",MagFabrics,,,"Contract, Upholstery",TRUE,,,,,,,12456,,,,continue,manual,60.00,,,,,https://images.magfabrics.com/fabrics/ADAMS%20MIDNIGHT.jpg,,,,,,,,,,,,,,,,,,,,,,,,,active,
